phase,action_type,edge
late,do,"('G40.9', 'Q21.1')"
late,do,"('G40.9', 'K21.9')"
late,do,"('G40.9', 'I21.9')"
late,do,"('G40.9', 'G43.9')"
late,do,"('G40.9', 'G30.0')"
late,do,"('G40.9', 'U07.1')"
late,do,"('G40.9', 'L03.90')"
late,do,"('G43.9', 'K21.9')"
late,do,"('G43.9', 'G30.0')"
late,do,"('G43.9', 'A41.9')"
late,do,"('G43.9', 'L03.90')"
late,do,"('G43.9', 'T14.91')"
late,do,"('G43.9', 'J18.9')"
late,do,"('G43.9', 'Q21.1')"
late,do,"('G43.9', 'I21.9')"
late,do,"('Q21.1', 'L03.90')"
late,do,"('Q21.1', 'Q21.1')"
late,do,"('Q21.1', 'J18.9')"
late,do,"('Q21.1', 'I21.9')"
late,do,"('J18.9', 'G30.0')"
late,do,"('J18.9', 'T14.91')"
late,do,"('J18.9', 'A41.9')"
late,do,"('J18.9', 'M54.5')"
late,do,"('J18.9', 'K21.9')"
late,do,"('J18.9', 'I21.9')"
late,do,"('L03.90', 'I21.9')"
late,do,"('L03.90', 'U07.1')"
late,do,"('L03.90', 'T14.91')"
late,do,"('L03.90', 'L03.90')"
late,do,"('G30.0', 'A41.9')"
late,do,"('G30.0', 'K21.9')"
late,do,"('G30.0', 'T14.91')"
late,do,"('T14.91', 'K21.9')"
late,do,"('T14.91', 'A41.9')"
late,do,"('T14.91', 'I21.9')"
late,do,"('K21.9', 'A41.9')"
late,do,"('K21.9', 'U07.1')"
late,do,"('K21.9', 'M54.5')"
late,do,"('A41.9', 'I21.9')"
late,do,"('A41.9', 'U07.1')"
late,do,"('A41.9', 'M54.5')"
late,do,"('M54.5', 'M54.5')"
late,do,"('M54.5', 'U07.1')"
